Nama_Sekolah;Provinsi;Kota_Kabupaten;Kecamatan;NPSN;Status;Bentuk_Pendidikan;Status_Kepemilikan;SK_Pendirian_Sekolah;Tanggal_SK_Pendirian;SK_Izin_Operasional;Tanggal_SK_Izin_Operasional;Kebutuhan_Khusus_Dilayani;Nama_Bank;Cabang_KCP_Unit;Rekening_Atas_Nama;Status_BOS;Waktu_Penyelenggaraan;Sertifikasi_ISO;Sumber_Listrik;Daya_Listrik;Kecepatan_Internet;Kepsek;Operator;Akreditasi;Kurikulum;Waktu;Alamat;RT_RW;Dusun;Desa_Kelurahan;Kode_Pos;Lintang;Bujur;Guru_L;Guru_P;Guru_Total;Tendik_L;Tendik_P;Tendik_Total;PTK_L;PTK_P;PTK_Total;Peserta_Didik_L;Peserta_Didik_P;Peserta_Didik_Total;Ruang_Kelas;Ruang_Perpus;Ruang_Lab;Ruang_Pratik;Rombel;
SDN SOKOLIMAN KARANGMOJO;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Karangmojo;20401815;Negeri;SD;Pemerintah Daerah;74/KPTS/2016;23/02/2016;74/KPTS/2016;23/02/2016;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG KARANGMOJO...;SDNSOKOLIMANI...;-;-;-;-;;;Nur Tsalichah;;Tidak diisi;Kurikulum Merdeka;-;Sokoliman II, Bejiharjo, Karangmojo;Feb-20;Sokoliman II;Bejiharjo;55891;-7;110;2;6;8;0;2;2;2;8;10;67;58;125;6;1;0;0;6;
SDN WILADEG KARANGMOJO;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Karangmojo;20402085;Negeri;SD;Pemerintah Daerah;200/KPTS/2003;26/05/2003;200/KPTS/2003;26/05/2003;Tidak ada;BPD;KARANGMOJO;SDN WILADEG;-;-;-;-;;;Marjudi;Katarina Indra Susanti;Tidak diisi;Kurikulum Merdeka;-;Kayuwalang;01-Jul;Kayuwalang;Wiladeg;55891;-7;110;2;7;9;1;2;3;3;9;12;85;72;157;13;1;1;0;6;
SD ALAM ALMARINA ISLAMIC BOARDING SCHOOL;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Karangmojo;70006378;Swasta;SD;Yayasan;79/YAS/KPTS/III/2020;25/03/2020;121/KPTS/2020;10/11/2020;Tidak ada;;;;-;-;-;-;;;Yulianto Restu Prayitno;WAHYUNINGSIH FIQDIAWATI;Tidak diisi;Kurikulum Merdeka;-;Karangmojo I, 005/007 Karangmojo, Karangmojo;05-Jan;Krangmojo I;Karangmojo;55891;-7;110;0;8;8;2;1;3;2;9;11;26;13;39;6;1;0;0;6;
SD IT PERMATA BANGSA KARANGMOJO;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Karangmojo;69758276;Swasta;SD;Yayasan;09/YABIMA/III/2011;10/03/2011;421/680/Kpts/2012;25/06/2012;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG KARANGMOJO...;SDITPERMATABANGSA...;-;-;-;-;;;Eni Supitawati;HUSNI ZUNIYANTO;B;Kurikulum Merdeka;-;Munggur, Ngipak, Karangmojo, Gunungkidul;02-Mar;Munggur;Ngipak;55891;-7;110;5;14;19;1;3;4;6;17;23;140;129;269;12;0;0;0;12;
SD MUHAMMADIYAH BRANJANG KARANGMOJO;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Karangmojo;20402147;Swasta;SD;Yayasan;3168/L-2002/DIY-64/77;01/09/1977;125/KPTS/1991;01/04/1991;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG  KARANGMOJO...;SDMUHAMMADIYAHBRANJANG...;-;-;-;-;;;Tarwiji;;B;Kurikulum Merdeka;-;Branjang;02-Oct;Branjang;Ngawis;55891;-7;110;3;3;6;2;1;3;5;4;9;39;24;63;6;1;1;0;6;
SD MUHAMMADIYAH SUMBEREJO KARANGMOJO;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Karangmojo;20402231;Swasta;SD;Yayasan;3165/L.1999/DIY.59/77;01/09/1977;125/KPTS/1991;01/04/1991;D,K;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG KARANGMOJO...;SDMUHAMMADIYAHSUMBEREJO...;-;-;-;-;;;DWI FERAWATI;;Tidak diisi;Kurikulum Merdeka;-;Sumberjo;02-Sep;Sumberjo;Karangmojo;55891;-7;110;0;3;3;0;1;1;0;4;4;37;44;81;6;1;0;0;6;
SD MUHAMMADIYAH UNGGULAN KARANGMOJO;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Karangmojo;70000523;Swasta;SD;Yayasan;067/KEP/I/O/D/2019;07/01/2019;B/400.3.5/472/2025;25/02/2025;Tidak ada;nama_bank;cabang;rek_atas_nama;-;-;-;-;;;Siti Roehani;ABI SUKAJI;B;Kurikulum Merdeka;-;Jl. Karangmojo-Ponjong Km 0.2, Karangmojo, Gunungkidul;Apr-14;Ngepung;Karangmojo;55889;-7;110;2;5;7;0;1;1;2;6;8;43;22;65;6;0;0;0;6;
SMP NEGERI 1 KARANGMOJO;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Karangmojo;20401953;Negeri;SMP;Pemerintah Pusat;0365/0/1977;25/08/1977;0365/0/1977;25/08/1977;Tidak ada;BPD;Karangmojo;SMP 1 Karangmojo;-;-;-;-;;;Tumijo;Puspita Fitri Nuraini;A;Kurikulum Merdeka;-;Gedangrejo, Karangmojo, Gunungkidul;0 / 0;Plumbungan;Gedangrejo;55891;-7;110;13;18;31;4;4;8;17;22;39;316;326;642;21;1;6;0;21;
SMP NEGERI 2 KARANGMOJO;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Karangmojo;20402008;Negeri;SMP;Pemerintah Daerah;030/U/1979;17/02/1979;030/U/1979;17/02/1979;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG KARANGMOJO...;SMP2KARANGMOJO...;-;-;-;-;;;Jenti Nurgraheni;PUTU SUTARISMI;Tidak diisi;Kurikulum Merdeka;-;Karangmojo;03-Jul;Kulwo;Bejiharjo;55891;-7;110;9;17;26;7;1;8;16;18;34;298;274;572;18;1;4;0;18;
SMP NEGERI 3 KARANGMOJO;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Karangmojo;20402015;Negeri;SMP;Pemerintah Daerah;0219/C/1981;01/07/1981;0219/C/1981;01/07/1981;A, B, D1;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG KARANGMOJO...;SMP3KARANGMOJO...;-;-;-;-;;;Tri Umi Nurhidayati;Roy Sri Lestari;A;Kurikulum Merdeka;-;Sawahan;0 / 0;Sawahan;Jatiayu;55891;-7;110;5;10;15;3;4;7;8;14;22;158;130;288;12;1;5;0;9;
SMP AL HIKMAH KARANGMOJO;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Karangmojo;20404239;Swasta;SMP;Yayasan;003/YAH/A-2/I/2011;17/01/2011;410/1237;04/07/2005;Tidak ada;BPD;Karangmojo;SMP AL HIKMAH KARANGMOJO;-;-;-;-;;;Zuan Al Nawawi Khirzin;;A;Kurikulum Merdeka;-;Sumberjo Rt 01 / Rw 09;01-Sep;Sumberjo;Karangmojo;55891;-7;110;6;3;9;2;1;3;8;4;12;26;43;69;8;1;3;0;4;
SMP EKAKAPTI KARANGMOJO;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Karangmojo;20401968;Swasta;SMP;Yayasan;0220/H/1986;01/05/1986;420/A/E20/IDSMP/68;08/04/1968;A,B,C,C1,K;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG KARANGMOJO...;SMPEKAKAPTIKARANGMOJO...;-;-;-;-;;;Wahyu Sri Tumurun;ANDI PURWONO;B;Kurikulum Merdeka;-;Ngawis, Karangmojo, Gunungkidul;01-Feb;Ngawis II, Ngawis, Karangmojo;Ngawis;55891;-7;110;1;5;6;5;2;7;6;7;13;29;16;45;11;1;2;0;3;
SMP MARGALUHUR KARANGMOJO;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Karangmojo;20401963;Swasta;SMP;Yayasan;01/Pan/SMP/65;01/08/1965;420/A/E.19/IDSMP/68;08/04/1968;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG KARANGMOJO...;SMPMARGALUHUR...;-;-;-;-;;;Martinus Dwi Riswanto;YULIATI;C;Kurikulum Merdeka;-;Jl. Karangmojo - Semin KM 7 Jatiayu, Karangmojo;04-Aug;Kerdon;Jatiayu;55891;-7;110;2;1;3;1;0;1;3;1;4;2;0;2;5;1;2;0;1;
SMP PEMBANGUNAN KARANGMOJO;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Karangmojo;20401944;Swasta;SMP;Yayasan;46;08/12/1976;0218/H/1986;01/05/1986;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG KARANGMOJO...;SMPPEMBANGUNANKARANGMOJO...;-;-;-;-;;;Affan Nurrozzaqi Ridlo;Dwi Fatmawati;A;Kurikulum Merdeka;-;Karangmojo;04-Jul;Karangmojo;Karangmojo;55891;-7;110;4;4;8;4;0;4;8;4;12;55;24;79;6;0;3;0;4;
SMAN 1 KARANGMOJO;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Karangmojo;20402124;Negeri;SMA;Pemerintah Daerah;0473/0/1983;09/11/1983;0473/0/1983;09/11/1983;A, B, C;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG WONOSARI...;SMAN1KARANGMOJO...;-;-;-;-;;;Siti Zumrotul Arifah;;A;Kurikulum Merdeka;-;NGIPAK, KARANGMOJO 55891;03-Mar;Coyudan I;Ngipak;55891;-7;110;12;20;32;12;5;17;24;25;49;225;526;751;22;1;6;0;21;
SMA PEMBANGUNAN 2 KARANGMOJO;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Karangmojo;20402052;Swasta;SMA;Yayasan;0497/H/1986;03/06/1986;046/SP/A/U/IX/1979;01/08/1979;C - Tuna grahita ringan;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG 012  KARANGMOJO...;SMAPEMBANGUNAN2KARANGMOJO...;-;-;-;-;;;Agus Suharyanto;;Tidak diisi;Kurikulum Merdeka;-;SRIMPI , KARANGMOJO 55891;05-Jul;SRIMPI;Karangmojo;55891;-7;110;3;3;6;5;0;5;8;3;11;19;40;59;6;1;4;1;3;
SMK AL HIKMAH KARANGMOJO;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Karangmojo;20402109;Swasta;SMK;Yayasan;421/183/KPTS/2008;16/07/2008;421/3/83/KP2TSP/2017;12/07/2017;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG ( 021 )  KARANGMOJO...;SMKAL-HIKMAHKARANGMOJO...;-;-;-;-;;;Ari Himawan;Imam Musthofa, S.Pd.;Tidak diisi;Kurikulum Merdeka;-;Jl. Karangmojo - Semin, Sumberjo;01-Sep;Sumberjo;Karangmojo;55891;-7;110;4;4;8;2;0;2;6;4;10;21;26;47;6;1;1;0;6;
SMK MUHAMMADIYAH KARANGMOJO;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Karangmojo;20402131;Swasta;SMK;Yayasan;3207/N.602/DIY.68/77;15/01/1968;421/3365/KP2TSP/2017;17/07/2017;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG 012  KARANGMOJO...;SMKMUHAMMADIYAHKARANGMOJO...;-;-;-;-;;;Tsulistianta Subhan Aziz;TAUFIQ AKHIRUDDIN;A;Kurikulum Merdeka;-;JL. KARANGMOJO - PONJONG KM. 0,5;04-Jul;KARANGMOJO I;Karangmojo;55891;-7;110;12;16;28;9;3;12;21;19;40;323;216;539;14;2;3;0;21;
SMK PEMBANGUNAN KARANGMOJO;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Karangmojo;20402100;Swasta;SMK;Yayasan;421.5/100/KPTS/2003;11/06/2003;421.5/100/KPTS/2003;11/06/2003;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG  KARANGMOJO...;SMKPEMBANGUNANKARANGMOJO...;-;-;-;-;;;Muh Kadarisman;Ahmad Sapto Nugroho;Tidak diisi;Kurikulum Merdeka;-;SRIMPI KARANGMOJO;05-Jul;KARANGMOJO I;Karangmojo;55891;-7;110;21;12;33;6;2;8;27;14;41;569;149;718;24;1;1;0;22;
SDN BENDUNG I SEMIN;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Semin;20402207;Negeri;SD;Pemerintah Daerah;125/KPTS/1991;01/04/1991;125/KPTS/1991;01/04/1991;Tidak ada;BPD DIY;Capem Semin;SDN BENDUNG I;-;-;-;-;;;Sumarmi;Kelik Supriyanto;B;Kurikulum Merdeka;-;Bendung;03-Jan;Bendung;Bendung;55854;-7;110;4;4;8;2;1;3;6;5;11;39;29;68;6;1;0;0;6;
SDN BENDUNG II SEMIN;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Semin;20402206;Negeri;SD;Pemerintah Daerah;125/KPTS/1991;01/04/1991;125/KPTS/1991;01/04/1991;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SEMIN...;SDNBENDUNGII...;-;-;-;-;;;Sumadi;Purwanti Handayani;B;Kurikulum Merdeka;-;Garotan;01-Jul;Garotan;Bendung;55854;-7;110;2;6;8;1;0;1;3;6;9;61;39;100;6;1;0;0;6;
SDN BULUREJO I SEMIN;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Semin;20402491;Negeri;SD;Pemerintah Daerah;125/KPTS/1991;01/04/1991;125/KPTS/1991;01/04/1991;C1,H,K;BPD DIY;CAPEM SEMIN;SD NEGERI BULUREJO I;-;-;-;-;;;Kartinah;Andri Budiyanto;B;Kurikulum Merdeka;-;Karangpoh;06-Dec;Karangpoh;Semin;55854;-7;110;5;3;8;0;1;1;5;4;9;43;30;73;6;1;2;0;6;
SDN BULUREJO II SEMIN;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Semin;20402490;Negeri;SD;Pemerintah Daerah;125/KPTS/1991;01/04/1991;125/KPTS/1991;01/04/1991;C1 - Tuna grahita sedang;BPD DIY;Semin;SDN Bulurejo II;-;-;-;-;;;Sumarmi;;B;Kurikulum Merdeka;-;Bulurejo;01-Mar;Bulurejo;Bulurejo;55854;-7;110;2;5;7;0;0;0;2;5;7;52;50;102;6;1;0;0;6;
SDN CANDIREJO I SEMIN;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Semin;20402502;Negeri;SD;Pemerintah Daerah;125/KPTS/1991;01/04/1991;125/KPTS/1991;01/04/1991;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SEMIN...;SDNCANDIREJOI...;-;-;-;-;;;Sriyati;ASIH SUSANTI;A;Kurikulum Merdeka;-;Candi, Candirejo, Semin, Gunungkidul;04-Feb;candi;Candi Rejo;55854;-7;110;4;7;11;0;2;2;4;9;13;50;27;77;6;1;0;0;6;
SDN KARANGSARI SEMIN;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Semin;20402443;Negeri;SD;Pemerintah Daerah;125/KPTS/1991;01/04/1991;125/KPTS/1991;01/04/1991;Tidak ada;BANK BPD DIY;Semin;SD KARANGSARI;-;-;-;-;;;Hartini;SRI WARDANI, S.Pd.;A;Kurikulum Merdeka;-;Karang;03-Sep;Karang;Karang Sari;55854;-7;110;2;5;7;0;1;1;2;6;8;56;43;99;7;1;0;0;6;
SDN KERINGAN SEMIN;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Semin;20402434;Negeri;SD;Pemerintah Pusat;SK Gubernur No : 125/KPTS;01/04/1991;125/KPTS/1991;01/04/1991;C,C1;BPD YOGYAKARTA;BPD YOGYAKARTA CABANG SEMIN;SDNKERINGAN;-;-;-;-;;;Gunadi;NANANG SEPTIAN NURAJI;A;Kurikulum Merdeka;-;Keringan;02-Jun;Keringan;Bulurejo;55854;-7;110;1;7;8;1;0;1;2;7;9;34;40;74;6;1;0;0;6;
SDN LOGANTUNG I SEMIN;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Semin;20402431;Negeri;SD;Pemerintah Daerah;125/KPTS/1991;01/04/1991;125/KPTS/1991;01/04/1991;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SEMIN...;SDNLOGANTUNGI...;-;-;-;-;;;Sutriyana;YUYUN PUJI ASTUTI;B;Kurikulum Merdeka;-;Logantung;04-May;Logantung;Sumberrejo;55854;-7;110;0;9;9;1;0;1;1;9;10;42;26;68;6;1;1;0;6;
SDN LOGANTUNG II SEMIN;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Semin;20402430;Negeri;SD;Pemerintah Daerah;125/KPTS/1991;01/04/1991;125/KPTS/1991;01/04/1991;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SEMIN...;SDNLOGANTUNGII...;-;-;-;-;;;Sumardi;MURNI SIAMSIH;B;Kurikulum Merdeka;-;Tulung;Jan-16;Tulung;Sumberrejo;55854;-7;110;3;5;8;1;0;1;4;5;9;18;19;37;6;1;0;0;6;
SDN NGADIPIRO SEMIN;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Semin;20401864;Negeri;SD;Pemerintah Daerah;125/KPTS/1991;01/04/1991;125/KPTS/1991;01/04/1991;Tidak ada;BPD DIY;SEMIN;SD NGADIPIRO;-;-;-;-;;;Rodliyah Zuliati;Yulianingsih;B;Kurikulum Merdeka;-;Jl. Semin- Wonogiri Km 5;03-May;NGADIPIRO;Rejosari;55854;-7;110;1;7;8;1;1;2;2;8;10;37;37;74;6;1;1;0;6;
SDN NGEPOH SEMIN;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Semin;20401880;Negeri;SD;Pemerintah Daerah;125/KPTS/1991;01/04/1991;125/KPTS/1991;01/04/1991;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SEMIN...;SDNNGEPOH...;-;-;-;-;;;Sri Widayati;;A;Kurikulum Merdeka;-;Mandesan;Mar-16;Mandesan;Semin;55854;-7;110;5;2;7;1;1;2;6;3;9;66;62;128;6;1;1;0;6;
SDN PAYAMAN II SEMIN;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Semin;20401917;Negeri;SD;Pemerintah Daerah;125/Kpts/1991;01/04/1991;125/KPTS/1991;01/04/1991;Tidak ada;BPD;Semin;SD Payaman II;-;-;-;-;;;Andriyono;AWALUDIN ASIYANTO;A;Kurikulum Merdeka;-;Kerdon;02-Feb;Kerdon;Karang Sari;55854;-7;110;3;5;8;2;0;2;5;5;10;46;41;87;7;1;0;0;6;
SDN PREBUTAN SEMIN;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Semin;20401907;Negeri;SD;Pemerintah Daerah;125/KPTS/1991;01/04/1991;125/KPTS/1991;01/04/1991;C1 - Tuna grahita sedang;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG PEMBANTU SEMIN...;SDPREBUTANSEMIN...;-;-;-;-;;;Sumiyem;Prita Oviana Widawati;A;Kurikulum Merdeka;-;Prebutan;08-Feb;Prebutan;Kemejing;55854;-7;110;3;3;6;0;2;2;3;5;8;34;29;63;10;1;1;0;6;
SDN REJOSARI II SEMIN;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Semin;20401765;Negeri;SD;Pemerintah Daerah;125/KPTS/1991;01/04/1991;125/KPTS/1991;01/04/1991;Tidak ada;BDP DIY;Semin;SDN REJOSARI II;-;-;-;-;;;Gunadi;ERTHA CAHYAPUTRA;B;Kurikulum Merdeka;-;Kaligayam;01-Dec;Kaligayam;Rejosari;55854;-7;110;5;3;8;1;0;1;6;3;9;24;27;51;6;1;0;0;6;
SDN REJOSARI III SEMIN;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Semin;20401764;Negeri;SD;Pemerintah Daerah;125/KPTS/1991;01/04/1991;125/KPTS/1991;01/04/1991;Tidak ada;BPD;Semin;SDN REJOSARI III;-;-;-;-;;;Supartinem;Syarif Anshori;A;Kurikulum Merdeka;-;Bedil Wetan;01-Feb;Bedil Wetan;Rejosari;55854;-7;110;3;5;8;1;1;2;4;6;10;76;64;140;6;1;1;0;6;
SDN SEDONO SEMIN;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Semin;20401774;Negeri;SD;Pemerintah Daerah;125/KPTS/1991;01/04/1991;125/KPTS/1991;01/04/1991;C1 - Tuna grahita sedang;BPD DIY;Semin;SDN SEDONO;-;-;-;-;;;Nuning Siti Lestari;Asep Sakban Solikhin;Tidak diisi;Kurikulum Merdeka;-;Sedono;02-Jul;Sedono;Pundung Sari;55854;-7;110;5;3;8;0;1;1;5;4;9;53;51;104;7;1;0;0;6;
SDN SEMIN I SEMIN;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Semin;20401743;Negeri;SD;Pemerintah Daerah;125/KPTS/1991;01/04/1991;125/KPTS/1991;01/04/1991;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SEMIN...;SDNSEMINI...;-;-;-;-;;;Wahono;PUTRI MEGAWATI;A;Kurikulum Merdeka;-;Pundungsari, Semin, Gunungkidul;05-Feb;Pundungsari;Pundung Sari;55854;-7;110;2;6;8;2;1;3;4;7;11;88;78;166;7;1;1;0;6;
SDN SEMIN II SEMIN;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Semin;20401742;Negeri;SD;Pemerintah Daerah;125/KPTS/1991;01/04/1991;125/KPTS/1991;01/04/1991;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG WONOSARI...;SDNSEMINII...;-;-;-;-;;;Salmuji;Erwindha Mahanani;A;Kurikulum Merdeka;-;Tukluk;0 / 0;Tukluk;Semin;55854;-7;110;3;5;8;1;0;1;4;5;9;77;80;157;11;1;0;0;6;
SDN SEMIN III SEMIN;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Semin;20401741;Negeri;SD;Pemerintah Daerah;125/KPTS/1991;01/04/1991;125/KPTS/1991;01/04/1991;Tidak ada;Bank BPD DIY;Semin;SDN SEMIN III;-;-;-;-;;;Sulistiyono;SIHRUMANTI DWI PRAPTIWI;B;Kurikulum Merdeka;-;Tahunan;0 / 0;Tahunan;Bulurejo;55854;-7;110;5;3;8;2;1;3;7;4;11;28;36;64;6;1;0;0;6;
SDN SUMBER SEMIN;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Semin;20401832;Negeri;SD;Pemerintah Daerah;125/Kpts/1991;01/04/1991;125/KPTS/1991;01/04/1991;K - Kesulitan Belajar;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SEMIN...;SDNSUMBER...;-;-;-;-;;;Arin Yuniati;ANGGA SETIA NUGROHO;B;Kurikulum Merdeka;-;Sumber;02-Jul;Sumber;Candi Rejo;55854;-7;110;3;4;7;1;2;3;4;6;10;20;19;39;6;1;0;0;6;
SDN SUMBEREJO SEMIN;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Semin;20401831;Negeri;SD;Pemerintah Daerah;125/KPTS/1991;01/04/1991;125/KPTS/1991;01/04/1991;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SEMIN...;SDNSUMBEREJOSEMIN...;-;-;-;-;;;Loso;ROHMAD SHOLIKIN;A;Kurikulum Merdeka;-;Banaran;Mar-13;Banaran;Sumberrejo;55854;-7;110;3;3;6;4;0;4;7;3;10;45;44;89;6;1;0;0;6;
SDN TAMBRAN I SEMIN;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Semin;20401796;Negeri;SD;Pemerintah Daerah;125/KPTS/1991;01/04/1991;125/KPTS/1991;01/04/1991;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SEMIN...;SDNTAMBRANI...;-;-;-;-;;;Nuratik Istiqomah;Dwi Nur Cahyono;A;Kurikulum Merdeka;-;Tambran;25-Aug;Tambran Lor;Kalitekuk;55854;-7;110;2;6;8;2;1;3;4;7;11;73;65;138;6;1;1;0;6;
SDN TAMBRAN II SEMIN;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Semin;20401795;Negeri;SD;Pemerintah Daerah;125/KPTS/1991;01/04/1991;125/KPTS/1991;01/04/1991;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SEMIN...;SDNTAMBRANII...;-;-;-;-;;;Bowo Suratno;;Tidak diisi;Kurikulum Merdeka;-;Kemejing II;33 / 9;Kemejing II;Kemejing;55854;-7;110;3;5;8;1;1;2;4;6;10;54;77;131;6;1;0;0;6;
SDN WIDORO SEMIN;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Semin;20402076;Negeri;SD;Pemerintah Daerah;125/KPTS/1991;01/04/1991;125/KPTS/1991;01/04/1991;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SEMIN...;SDNWIDOROSEMIN...;-;-;-;-;;;Witahari;;B;Kurikulum Merdeka;-;Karbolo, Bendungan;03-Aug;Bendungan;Sumberrejo;55854;-7;110;1;5;6;1;0;1;2;5;7;6;17;23;8;1;0;0;6;
SD IT DIAN INSANI SEMIN;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Semin;69988097;Swasta;SD;Yayasan;01/B/SK/VII/2015;26/08/2015;110/KPTS/2018;30/04/2018;Tidak ada;BPD;SEMIN;SD IT DIAN INSANI SEMIN;-;-;-;-;;;WINOTO;ILMA EKA SUSANTO;B;Kurikulum Merdeka;-;Bendo, Sumberejo, Semin, Gunungkidul;04-May;BENDO;Sumberrejo;55854;-7;110;2;4;6;1;1;2;3;5;8;78;76;154;7;1;1;0;7;
SD MUHAMMADIYAH KUTUGAN SEMIN;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Semin;20402160;Swasta;SD;Yayasan;3180/l.2014/DIY.67/77;26/02/1977;125/KPTS/1991;01/04/1991;Tidak ada;BPD;Semin;SD MUHAMMADIYAH KUTUGAN;-;-;-;-;;;Suharna;;A;Kurikulum Merdeka;-;Kutugan;01-Aug;Kutugan;Pundung Sari;55854;-7;110;1;1;2;3;1;4;4;2;6;28;32;60;6;1;0;0;6;
SD MUHAMMADIYAH LEMAHBANG SEMIN;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Semin;20402156;Swasta;SD;Yayasan;3171/L.2005/DIY.67/77;01/09/1977;125/KPTS/1991;01/04/1991;Tidak ada;BPD YOGYAKARTA...;BPD YOGYAKARTA CABANG SEMIN...;SDMUHAMMADIYAHLEMAHBANG...;-;-;-;-;;;TAUFIQ HIDAYAT;;A;Kurikulum Merdeka;-;Lemahbang, Candirejo, Semin, Gunungkidul;04-Sep;Lemahbang;Candi Rejo;55854;-7;110;0;6;6;1;0;1;1;6;7;34;32;66;6;1;0;0;6;
SD MUHAMMADIYAH SIDOREJO SEMIN;Prov. D.I. Yogyakarta;Kab. Gunungkidul;Kec. Semin;20402235;Swasta;SD;Yayasan;3183/L-2017/DIY-71/77;01/09/1977;125/KPTS/1991;01/04/1991;Tidak ada;Bank BPD DIY;semin;SD MUH SIDOREJO SEMIN;-;-;-;-;;;Ngatina;BAYU PRASETYA;Tidak diisi;Kurikulum Merdeka;-;Tegalsari;05-Sep;Tegalsari;Semin;55854;-7;110;2;4;6;2;1;3;4;5;9;134;131;265;8;1;1;0;11;
